internship_id,company,job_title,category,location,work_mode,duration_months,duration_text,start_date,stipend_min_inr,stipend_max_inr,required_skills,description,eligibility,source_type,source_url
INT-0092,EY,Blockchain Developer Intern,Blockchain,"Kochi, Kerala",Hybrid,6,6 months,,7000,12000,Solidity|JavaScript|Ethereum|Web3|Git,"Blockchain Developer Intern focused on practical work, mentoring, and project-based learning in Blockchain.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0093,KPMG,AR/VR Developer Intern,AR/VR,"Mumbai, Maharashtra",Hybrid,2,2 months,,8000,16000,Unity|C#|3D Modeling|AR|VR,"AR/VR Developer Intern focused on practical work, mentoring, and project-based learning in AR/VR.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0094,PwC,Game Developer Intern,Game Development,"Bengaluru, Karnataka",Hybrid,3,3 months,,10000,13000,Unity|C#|Game Design|3D|Git,"Game Developer Intern focused on practical work, mentoring, and project-based learning in Game Development.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0095,Cisco,Frontend Developer Intern,Frontend,"Ahmedabad, Gujarat",On-site,4,4 months,,12000,17000,HTML|CSS|JavaScript|React|Git,"Frontend Developer Intern focused on practical work, mentoring, and project-based learning in Frontend.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0096,Oracle,React Developer Intern,Frontend,"Gurugram, Haryana",Hybrid,6,6 months,,5000,13000,React|JavaScript|HTML|CSS|Git,"React Developer Intern focused on practical work, mentoring, and project-based learning in Frontend.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0097,SAP,UI Developer Intern,Frontend/UI,"Pune, Maharashtra",Hybrid,2,2 months,,7000,10000,HTML|CSS|JavaScript|React|Responsive Design,"UI Developer Intern focused on practical work, mentoring, and project-based learning in Frontend/UI.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0098,Adobe,Web Developer Intern,Web Development,"Remote, India",Remote,3,3 months,,8000,13000,HTML|CSS|JavaScript|REST APIs|Git,"Web Developer Intern focused on practical work, mentoring, and project-based learning in Web Development.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0099,NVIDIA,Backend Developer Intern,Backend,"Noida, Uttar Pradesh",On-site,4,4 months,,10000,18000,Python|FastAPI|SQL|REST APIs|Git,"Backend Developer Intern focused on practical work, mentoring, and project-based learning in Backend.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0100,Intel,Python Developer Intern,Backend,"Chennai, Tamil Nadu",On-site,6,6 months,,12000,15000,Python|Django|FastAPI|SQL|Git,"Python Developer Intern focused on practical work, mentoring, and project-based learning in Backend.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0101,Qualcomm,Java Developer Intern,Backend/Java,"Hyderabad, Telangana",Hybrid,2,2 months,,5000,10000,Java|OOP|Spring Boot|SQL|Git,"Java Developer Intern focused on practical work, mentoring, and project-based learning in Backend/Java.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0102,Dell Technologies,Node.js Developer Intern,Backend,"Kochi, Kerala",Hybrid,3,3 months,,7000,15000,Node.js|JavaScript|Express.js|REST APIs|SQL,"Node.js Developer Intern focused on practical work, mentoring, and project-based learning in Backend.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0103,HP,Full Stack Developer Intern,Full Stack,"Mumbai, Maharashtra",Hybrid,4,4 months,,8000,11000,React|JavaScript|Node.js|SQL|Git,"Full Stack Developer Intern focused on practical work, mentoring, and project-based learning in Full Stack.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0104,Salesforce,Software Engineer Intern,Software Development,"Bengaluru, Karnataka",Hybrid,6,6 months,,10000,15000,Python|Java|DSA|OOP|Git,"Software Engineer Intern focused on practical work, mentoring, and project-based learning in Software Development.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0105,Atlassian,Software Developer Intern,Software Development,"Ahmedabad, Gujarat",On-site,2,2 months,,12000,20000,Python|Java|SQL|Git|Problem Solving,"Software Developer Intern focused on practical work, mentoring, and project-based learning in Software Development.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0106,LinkedIn,Mobile App Developer Intern,Mobile,"Gurugram, Haryana",Hybrid,3,3 months,,5000,8000,Kotlin|Android|REST APIs|Git|UI Design,"Mobile App Developer Intern focused on practical work, mentoring, and project-based learning in Mobile.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0107,PayPal,Android Developer Intern,Mobile,"Pune, Maharashtra",Hybrid,4,4 months,,7000,12000,Kotlin|Android|Jetpack Compose|REST APIs|Git,"Android Developer Intern focused on practical work, mentoring, and project-based learning in Mobile.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0108,JPMorgan Chase,iOS Developer Intern,Mobile,"Remote, India",Remote,6,6 months,,8000,16000,Swift|iOS|Xcode|REST APIs|Git,"iOS Developer Intern focused on practical work, mentoring, and project-based learning in Mobile.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0109,Goldman Sachs,UI/UX Designer Intern,UI/UX,"Noida, Uttar Pradesh",On-site,2,2 months,,10000,13000,Figma|Wireframing|Prototyping|User Research|UI Design,"UI/UX Designer Intern focused on practical work, mentoring, and project-based learning in UI/UX.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0110,Morgan Stanley,Product Design Intern,UI/UX,"Chennai, Tamil Nadu",On-site,3,3 months,,12000,17000,Figma|Design Thinking|Prototyping|User Research|UX Design,"Product Design Intern focused on practical work, mentoring, and project-based learning in UI/UX.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0111,HSBC,Graphic Design Intern,Design,"Hyderabad, Telangana",Hybrid,4,4 months,,5000,13000,Figma|Photoshop|Illustrator|Typography|Branding,"Graphic Design Intern focused on practical work, mentoring, and project-based learning in Design.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0112,Siemens,Data Analyst Intern,Data Analytics,"Kochi, Kerala",Hybrid,6,6 months,,7000,10000,Excel|SQL|Python|Data Analysis|Power BI,"Data Analyst Intern focused on practical work, mentoring, and project-based learning in Data Analytics.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0113,Bosch,Data Science Intern,Data Science,"Mumbai, Maharashtra",Hybrid,2,2 months,,8000,13000,Python|Pandas|NumPy|SQL|Machine Learning,"Data Science Intern focused on practical work, mentoring, and project-based learning in Data Science.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0114,Honeywell,Data Engineering Intern,Data Engineering,"Bengaluru, Karnataka",Hybrid,3,3 months,,10000,18000,Python|SQL|ETL|Data Warehousing|Git,"Data Engineering Intern focused on practical work, mentoring, and project-based learning in Data Engineering.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0115,Schneider Electric,Machine Learning Intern,AI/ML,"Ahmedabad, Gujarat",On-site,4,4 months,,12000,15000,Python|Pandas|scikit-learn|Machine Learning|SQL,"Machine Learning Intern focused on practical work, mentoring, and project-based learning in AI/ML.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0116,Jio Platforms,AI/ML Intern,AI/ML,"Gurugram, Haryana",Hybrid,6,6 months,,5000,10000,Python|PyTorch|Deep Learning|Machine Learning|NumPy,"AI/ML Intern focused on practical work, mentoring, and project-based learning in AI/ML.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0117,Myntra,NLP Intern,AI/ML,"Pune, Maharashtra",Hybrid,2,2 months,,7000,15000,Python|NLP|Transformers|PyTorch|Machine Learning,"NLP Intern focused on practical work, mentoring, and project-based learning in AI/ML.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0118,Meesho,Computer Vision Intern,AI/ML,"Remote, India",Remote,3,3 months,,8000,11000,Python|OpenCV|PyTorch|Deep Learning|Computer Vision,"Computer Vision Intern focused on practical work, mentoring, and project-based learning in AI/ML.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0119,Groww,Cloud Engineering Intern,Cloud,"Noida, Uttar Pradesh",On-site,4,4 months,,10000,15000,AWS|Linux|Networking|Python|Docker,"Cloud Engineering Intern focused on practical work, mentoring, and project-based learning in Cloud.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0120,MakeMyTrip,AWS Cloud Intern,Cloud,"Chennai, Tamil Nadu",On-site,6,6 months,,12000,20000,AWS|Linux|Docker|Networking|Git,"AWS Cloud Intern focused on practical work, mentoring, and project-based learning in Cloud.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0121,BookMyShow,Azure Cloud Intern,Cloud,"Hyderabad, Telangana",Hybrid,2,2 months,,5000,8000,Azure|Linux|Networking|Python|Cloud,"Azure Cloud Intern focused on practical work, mentoring, and project-based learning in Cloud.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0122,Tata Digital,DevOps Intern,DevOps,"Kochi, Kerala",Hybrid,3,3 months,,7000,12000,Linux|Docker|Kubernetes|CI/CD|AWS,"DevOps Intern focused on practical work, mentoring, and project-based learning in DevOps.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0123,UST,Site Reliability Engineering Intern,DevOps/SRE,"Mumbai, Maharashtra",Hybrid,4,4 months,,8000,16000,Linux|Docker|Kubernetes|Monitoring|Python,"Site Reliability Engineering Intern focused on practical work, mentoring, and project-based learning in DevOps/SRE.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0124,LTIMindtree,Cybersecurity Intern,Cybersecurity,"Bengaluru, Karnataka",Hybrid,6,6 months,,10000,13000,Networking|Linux|Cybersecurity|Python|SIEM,"Cybersecurity Intern focused on practical work, mentoring, and project-based learning in Cybersecurity.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0125,Coforge,Security Analyst Intern,Cybersecurity,"Ahmedabad, Gujarat",On-site,2,2 months,,12000,17000,SIEM|Networking|Linux|Incident Response|Cybersecurity,"Security Analyst Intern focused on practical work, mentoring, and project-based learning in Cybersecurity.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0126,Hexaware,Network Engineering Intern,Networking,"Gurugram, Haryana",Hybrid,3,3 months,,5000,13000,Networking|Linux|CCNA|Python|Troubleshooting,"Network Engineering Intern focused on practical work, mentoring, and project-based learning in Networking.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0127,Virtusa,QA Testing Intern,Testing,"Pune, Maharashtra",Hybrid,4,4 months,,7000,10000,Manual Testing|Test Cases|Bug Tracking|SQL|Git,"QA Testing Intern focused on practical work, mentoring, and project-based learning in Testing.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0128,Zensar,Automation Testing Intern,Testing,"Remote, India",Remote,6,6 months,,8000,13000,Selenium|Java|Python|API Testing|Git,"Automation Testing Intern focused on practical work, mentoring, and project-based learning in Testing.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0129,CitiusTech,API Testing Intern,Testing,"Noida, Uttar Pradesh",On-site,2,2 months,,10000,18000,Postman|REST APIs|API Testing|SQL|Python,"API Testing Intern focused on practical work, mentoring, and project-based learning in Testing.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0130,BrowserStack,Database Intern,Database,"Chennai, Tamil Nadu",On-site,3,3 months,,12000,15000,SQL|MySQL|PostgreSQL|Database Design|Git,"Database Intern focused on practical work, mentoring, and project-based learning in Database.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0131,Postman,PostgreSQL Developer Intern,Database,"Hyderabad, Telangana",Hybrid,4,4 months,,5000,10000,PostgreSQL|SQL|Python|Database Design|Git,"PostgreSQL Developer Intern focused on practical work, mentoring, and project-based learning in Database.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0132,Chargebee,Business Analyst Intern,Business Analytics,"Kochi, Kerala",Hybrid,6,6 months,,7000,15000,Excel|SQL|Power BI|Communication|Data Analysis,"Business Analyst Intern focused on practical work, mentoring, and project-based learning in Business Analytics.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0133,Infosys,Product Analyst Intern,Product Analytics,"Mumbai, Maharashtra",Hybrid,2,2 months,,8000,11000,SQL|Excel|Data Analysis|A/B Testing|Communication,"Product Analyst Intern focused on practical work, mentoring, and project-based learning in Product Analytics.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0134,TCS,Project Coordinator Intern,Project Management,"Bengaluru, Karnataka",Hybrid,3,3 months,,10000,15000,Communication|Excel|Jira|Documentation|Problem Solving,"Project Coordinator Intern focused on practical work, mentoring, and project-based learning in Project Management.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0135,Wipro,Technical Support Intern,IT Support,"Ahmedabad, Gujarat",On-site,4,4 months,,12000,20000,Networking|Linux|Troubleshooting|SQL|Communication,"Technical Support Intern focused on practical work, mentoring, and project-based learning in IT Support.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0136,Accenture,Embedded Systems Intern,Embedded,"Gurugram, Haryana",Hybrid,6,6 months,,5000,8000,C|C++|Embedded Systems|Linux|Debugging,"Embedded Systems Intern focused on practical work, mentoring, and project-based learning in Embedded.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0137,Deloitte,IoT Intern,IoT,"Pune, Maharashtra",Hybrid,2,2 months,,7000,12000,Python|IoT|MQTT|Linux|Cloud,"IoT Intern focused on practical work, mentoring, and project-based learning in IoT.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0138,IBM,Robotics Intern,Robotics,"Remote, India",Remote,3,3 months,,8000,16000,Python|C++|ROS|Robotics|Computer Vision,"Robotics Intern focused on practical work, mentoring, and project-based learning in Robotics.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0139,Microsoft,Blockchain Developer Intern,Blockchain,"Noida, Uttar Pradesh",On-site,4,4 months,,10000,13000,Solidity|JavaScript|Ethereum|Web3|Git,"Blockchain Developer Intern focused on practical work, mentoring, and project-based learning in Blockchain.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0140,Amazon,AR/VR Developer Intern,AR/VR,"Chennai, Tamil Nadu",On-site,6,6 months,,12000,17000,Unity|C#|3D Modeling|AR|VR,"AR/VR Developer Intern focused on practical work, mentoring, and project-based learning in AR/VR.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0141,Google,Game Developer Intern,Game Development,"Hyderabad, Telangana",Hybrid,2,2 months,,5000,13000,Unity|C#|Game Design|3D|Git,"Game Developer Intern focused on practical work, mentoring, and project-based learning in Game Development.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0142,Cognizant,Frontend Developer Intern,Frontend,"Kochi, Kerala",Hybrid,3,3 months,,7000,10000,HTML|CSS|JavaScript|React|Git,"Frontend Developer Intern focused on practical work, mentoring, and project-based learning in Frontend.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0143,HCLTech,React Developer Intern,Frontend,"Mumbai, Maharashtra",Hybrid,4,4 months,,8000,13000,React|JavaScript|HTML|CSS|Git,"React Developer Intern focused on practical work, mentoring, and project-based learning in Frontend.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0144,Tech Mahindra,UI Developer Intern,Frontend/UI,"Bengaluru, Karnataka",Hybrid,6,6 months,,10000,18000,HTML|CSS|JavaScript|React|Responsive Design,"UI Developer Intern focused on practical work, mentoring, and project-based learning in Frontend/UI.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0145,Capgemini,Web Developer Intern,Web Development,"Ahmedabad, Gujarat",On-site,2,2 months,,12000,15000,HTML|CSS|JavaScript|REST APIs|Git,"Web Developer Intern focused on practical work, mentoring, and project-based learning in Web Development.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0146,Mphasis,Backend Developer Intern,Backend,"Gurugram, Haryana",Hybrid,3,3 months,,5000,10000,Python|FastAPI|SQL|REST APIs|Git,"Backend Developer Intern focused on practical work, mentoring, and project-based learning in Backend.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0147,Persistent Systems,Python Developer Intern,Backend,"Pune, Maharashtra",Hybrid,4,4 months,,7000,15000,Python|Django|FastAPI|SQL|Git,"Python Developer Intern focused on practical work, mentoring, and project-based learning in Backend.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0148,Zoho,Java Developer Intern,Backend/Java,"Remote, India",Remote,6,6 months,,8000,11000,Java|OOP|Spring Boot|SQL|Git,"Java Developer Intern focused on practical work, mentoring, and project-based learning in Backend/Java.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0149,Freshworks,Node.js Developer Intern,Backend,"Noida, Uttar Pradesh",On-site,2,2 months,,10000,15000,Node.js|JavaScript|Express.js|REST APIs|SQL,"Node.js Developer Intern focused on practical work, mentoring, and project-based learning in Backend.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0150,Razorpay,Full Stack Developer Intern,Full Stack,"Chennai, Tamil Nadu",On-site,3,3 months,,12000,20000,React|JavaScript|Node.js|SQL|Git,"Full Stack Developer Intern focused on practical work, mentoring, and project-based learning in Full Stack.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0151,Swiggy,Software Engineer Intern,Software Development,"Hyderabad, Telangana",Hybrid,4,4 months,,5000,8000,Python|Java|DSA|OOP|Git,"Software Engineer Intern focused on practical work, mentoring, and project-based learning in Software Development.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0152,Zomato,Software Developer Intern,Software Development,"Kochi, Kerala",Hybrid,6,6 months,,7000,12000,Python|Java|SQL|Git|Problem Solving,"Software Developer Intern focused on practical work, mentoring, and project-based learning in Software Development.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0153,Flipkart,Mobile App Developer Intern,Mobile,"Mumbai, Maharashtra",Hybrid,2,2 months,,8000,16000,Kotlin|Android|REST APIs|Git|UI Design,"Mobile App Developer Intern focused on practical work, mentoring, and project-based learning in Mobile.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0154,Paytm,Android Developer Intern,Mobile,"Bengaluru, Karnataka",Hybrid,3,3 months,,10000,13000,Kotlin|Android|Jetpack Compose|REST APIs|Git,"Android Developer Intern focused on practical work, mentoring, and project-based learning in Mobile.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0155,PhonePe,iOS Developer Intern,Mobile,"Ahmedabad, Gujarat",On-site,4,4 months,,12000,17000,Swift|iOS|Xcode|REST APIs|Git,"iOS Developer Intern focused on practical work, mentoring, and project-based learning in Mobile.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0156,Ola,UI/UX Designer Intern,UI/UX,"Gurugram, Haryana",Hybrid,6,6 months,,5000,13000,Figma|Wireframing|Prototyping|User Research|UI Design,"UI/UX Designer Intern focused on practical work, mentoring, and project-based learning in UI/UX.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0157,Uber,Product Design Intern,UI/UX,"Pune, Maharashtra",Hybrid,2,2 months,,7000,10000,Figma|Design Thinking|Prototyping|User Research|UX Design,"Product Design Intern focused on practical work, mentoring, and project-based learning in UI/UX.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0158,EY,Graphic Design Intern,Design,"Remote, India",Remote,3,3 months,,8000,13000,Figma|Photoshop|Illustrator|Typography|Branding,"Graphic Design Intern focused on practical work, mentoring, and project-based learning in Design.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0159,KPMG,Data Analyst Intern,Data Analytics,"Noida, Uttar Pradesh",On-site,4,4 months,,10000,18000,Excel|SQL|Python|Data Analysis|Power BI,"Data Analyst Intern focused on practical work, mentoring, and project-based learning in Data Analytics.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0160,PwC,Data Science Intern,Data Science,"Chennai, Tamil Nadu",On-site,6,6 months,,12000,15000,Python|Pandas|NumPy|SQL|Machine Learning,"Data Science Intern focused on practical work, mentoring, and project-based learning in Data Science.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0161,Cisco,Data Engineering Intern,Data Engineering,"Hyderabad, Telangana",Hybrid,2,2 months,,5000,10000,Python|SQL|ETL|Data Warehousing|Git,"Data Engineering Intern focused on practical work, mentoring, and project-based learning in Data Engineering.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0162,Oracle,Machine Learning Intern,AI/ML,"Kochi, Kerala",Hybrid,3,3 months,,7000,15000,Python|Pandas|scikit-learn|Machine Learning|SQL,"Machine Learning Intern focused on practical work, mentoring, and project-based learning in AI/ML.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0163,SAP,AI/ML Intern,AI/ML,"Mumbai, Maharashtra",Hybrid,4,4 months,,8000,11000,Python|PyTorch|Deep Learning|Machine Learning|NumPy,"AI/ML Intern focused on practical work, mentoring, and project-based learning in AI/ML.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0164,Adobe,NLP Intern,AI/ML,"Bengaluru, Karnataka",Hybrid,6,6 months,,10000,15000,Python|NLP|Transformers|PyTorch|Machine Learning,"NLP Intern focused on practical work, mentoring, and project-based learning in AI/ML.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0165,NVIDIA,Computer Vision Intern,AI/ML,"Ahmedabad, Gujarat",On-site,2,2 months,,12000,20000,Python|OpenCV|PyTorch|Deep Learning|Computer Vision,"Computer Vision Intern focused on practical work, mentoring, and project-based learning in AI/ML.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0166,Intel,Cloud Engineering Intern,Cloud,"Gurugram, Haryana",Hybrid,3,3 months,,5000,8000,AWS|Linux|Networking|Python|Docker,"Cloud Engineering Intern focused on practical work, mentoring, and project-based learning in Cloud.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0167,Qualcomm,AWS Cloud Intern,Cloud,"Pune, Maharashtra",Hybrid,4,4 months,,7000,12000,AWS|Linux|Docker|Networking|Git,"AWS Cloud Intern focused on practical work, mentoring, and project-based learning in Cloud.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0168,Dell Technologies,Azure Cloud Intern,Cloud,"Remote, India",Remote,6,6 months,,8000,16000,Azure|Linux|Networking|Python|Cloud,"Azure Cloud Intern focused on practical work, mentoring, and project-based learning in Cloud.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0169,HP,DevOps Intern,DevOps,"Noida, Uttar Pradesh",On-site,2,2 months,,10000,13000,Linux|Docker|Kubernetes|CI/CD|AWS,"DevOps Intern focused on practical work, mentoring, and project-based learning in DevOps.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0170,Salesforce,Site Reliability Engineering Intern,DevOps/SRE,"Chennai, Tamil Nadu",On-site,3,3 months,,12000,17000,Linux|Docker|Kubernetes|Monitoring|Python,"Site Reliability Engineering Intern focused on practical work, mentoring, and project-based learning in DevOps/SRE.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0171,Atlassian,Cybersecurity Intern,Cybersecurity,"Hyderabad, Telangana",Hybrid,4,4 months,,5000,13000,Networking|Linux|Cybersecurity|Python|SIEM,"Cybersecurity Intern focused on practical work, mentoring, and project-based learning in Cybersecurity.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0172,LinkedIn,Security Analyst Intern,Cybersecurity,"Kochi, Kerala",Hybrid,6,6 months,,7000,10000,SIEM|Networking|Linux|Incident Response|Cybersecurity,"Security Analyst Intern focused on practical work, mentoring, and project-based learning in Cybersecurity.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0173,PayPal,Network Engineering Intern,Networking,"Mumbai, Maharashtra",Hybrid,2,2 months,,8000,13000,Networking|Linux|CCNA|Python|Troubleshooting,"Network Engineering Intern focused on practical work, mentoring, and project-based learning in Networking.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0174,JPMorgan Chase,QA Testing Intern,Testing,"Bengaluru, Karnataka",Hybrid,3,3 months,,10000,18000,Manual Testing|Test Cases|Bug Tracking|SQL|Git,"QA Testing Intern focused on practical work, mentoring, and project-based learning in Testing.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0175,Goldman Sachs,Automation Testing Intern,Testing,"Ahmedabad, Gujarat",On-site,4,4 months,,12000,15000,Selenium|Java|Python|API Testing|Git,"Automation Testing Intern focused on practical work, mentoring, and project-based learning in Testing.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0176,Morgan Stanley,API Testing Intern,Testing,"Gurugram, Haryana",Hybrid,6,6 months,,5000,10000,Postman|REST APIs|API Testing|SQL|Python,"API Testing Intern focused on practical work, mentoring, and project-based learning in Testing.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0177,HSBC,Database Intern,Database,"Pune, Maharashtra",Hybrid,2,2 months,,7000,15000,SQL|MySQL|PostgreSQL|Database Design|Git,"Database Intern focused on practical work, mentoring, and project-based learning in Database.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0178,Siemens,PostgreSQL Developer Intern,Database,"Remote, India",Remote,3,3 months,,8000,11000,PostgreSQL|SQL|Python|Database Design|Git,"PostgreSQL Developer Intern focused on practical work, mentoring, and project-based learning in Database.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0179,Bosch,Business Analyst Intern,Business Analytics,"Noida, Uttar Pradesh",On-site,4,4 months,,10000,15000,Excel|SQL|Power BI|Communication|Data Analysis,"Business Analyst Intern focused on practical work, mentoring, and project-based learning in Business Analytics.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0180,Honeywell,Product Analyst Intern,Product Analytics,"Chennai, Tamil Nadu",On-site,6,6 months,,12000,20000,SQL|Excel|Data Analysis|A/B Testing|Communication,"Product Analyst Intern focused on practical work, mentoring, and project-based learning in Product Analytics.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0181,Schneider Electric,Project Coordinator Intern,Project Management,"Hyderabad, Telangana",Hybrid,2,2 months,,5000,8000,Communication|Excel|Jira|Documentation|Problem Solving,"Project Coordinator Intern focused on practical work, mentoring, and project-based learning in Project Management.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
INT-0182,Jio Platforms,Technical Support Intern,IT Support,"Kochi, Kerala",Hybrid,3,3 months,,7000,12000,Networking|Linux|Troubleshooting|SQL|Communication,"Technical Support Intern focused on practical work, mentoring, and project-based learning in IT Support.","Students, fresh graduates, or early-career candidates with relevant skills or projects.",demo_dataset,
